検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
kec,2.029,-0.006,23.446,39,3955,1909,1836,61,165,494,1788,971,291,88
小6 女子,2.028,-94.994,20.368,63,6396,1897,4032,104,91,904,3644,1065,203,117
麻溝台高校,2.028,-9.121,18.271,55,5581,2246,2910,279,306,453,2252,1622,305,157
順天中学,2.028,0.003,24.917,34,3453,975,2326,38,39,274,2190,739,66,44
コベツバ,2.027,18.944,18.737,46,4675,1157,3321,20,10,377,3209,904,59,45
法政中学,2.027,-9.582,20.125,41,4168,1193,2776,55,54,335,2514,908,107,122
英検5級,2.026,-15.038,6.464,475,48297,10827,34786,453,528,8065,30437,5350,1250,987
英検結果,2.025,6.988,15.319,85,8657,2060,5539,1487,364,389,3812,1802,136,58
社会を明るくする作文,2.024,-32.652,17.047,46,4690,1024,3114,301,81,504,2608,694,71,47
中学生 身長,2.024,36.735,23.562,34,3464,1143,2091,75,109,440,2085,583,40,28
習い事,2.023,-3.61,10.675,139,14178,2702,10638,174,1101,4325,5322,2018,604,267
線対称と点対称,2.023,21.701,25.283,41,4183,1452,2468,93,153,602,2311,665,152,83
反抗期 娘 接し方,2.022,-46.414,20.673,45,4596,991,3357,38,45,572,2772,928,90,47
ベネッセ 中学講座,2.022,10.539,22.921,32,3267,771,2358,29,15,286,2129,714,27,23
都立広尾高校,2.022,-39.981,25.146,31,3165,895,2071,126,146,173,1369,973,180,96
中学3年生,2.021,-6.036,14.898,65,6642,2756,3344,225,171,457,2996,1926,373,183
自由自在,2.021,-22.871,21.746,34,3475,1289,1964,108,150,517,1417,661,299,202
熊谷女子偏差値,2.021,54.0,24.369,31,3169,1076,1863,101,183,307,1286,875,201,85
増田塾,2.02,-2.955,16.273,49,5015,1931,2724,392,359,266,1519,2058,203,59
白鴎中学,2.02,-11.497,20.492,42,4297,1194,2872,48,76,526,2552,809,94,89
愛知県 公立高校 偏差値,2.02,13.193,21.043,31,3173,1003,1989,55,97,375,1828,632,70,31
チャレンジタッチ 初期化,2.02,6.603,25.612,31,3171,924,2084,97,20,428,1937,559,30,24
勉強に集中する方法,2.019,-16.804,13.492,96,9838,3044,5082,1605,826,1030,3363,1409,182,154
英検 3級,2.019,-5.843,20.521,53,5430,1561,3497,257,171,532,2996,1103,98,77
埼玉県公立高校,2.019,37.659,21.291,37,3791,1042,2451,207,62,192,1931,1013,131,84
英検3級,2.018,-7.839,4.954,857,87904,26082,55038,3171,1768,6279,47975,20202,2635,2062
日能研 ログイン,2.018,-11.571,13.734,84,8617,2854,5418,78,15,900,5451,1691,180,178
子供会 イベント,2.018,-10.091,22.368,56,5742,1051,4380,22,33,1189,3555,641,113,76
受験前日の夕食,2.018,82.13,15.504,43,4409,756,3323,101,42,189,2407,1408,58,33
0120 426 956,2.017,6.229,15.518,86,8826,1662,6890,38,61,2858,5175,553,41,31
0120984807,2.016,-51.087,10.976,111,11406,2290,8592,41,50,1542,8024,1361,132,91
ファミリーリンク 解除 裏ワザ,2.016,1.332,23.076,37,3800,1312,2196,292,44,302,2172,792,28,16
古文 勉強法,2.015,31.147,20.584,46,4732,1487,2629,691,210,185,1742,1280,128,98
桜美林中学,2.015,-17.474,20.268,32,3291,925,2209,45,47,271,1988,739,78,57
英ナビ ログイン,2.014,-9.114,11.092,187,19250,3944,13861,1110,244,559,10666,5608,235,117
卒業式 小学校 男子,2.014,27.42,11.447,108,11113,1360,9111,29,20,1747,7806,1092,95,80
法政大学高校,2.014,14.247,23.823,45,4632,1529,2801,201,137,256,2279,1389,153,84
大阪市 塾代助成,2.014,13.512,20.735,35,3603,952,2518,15,43,877,2105,421,69,30
サイエンスフロンティア中学,2.013,11.016,18.469,44,4536,1020,3323,40,41,685,2831,686,111,82
形声文字とは,2.012,-6.88,22.285,40,4127,1155,2589,201,215,453,2080,665,175,99
昭和学院中学校 偏差値,2.012,6.551,24.127,38,3921,845,2880,46,34,383,2405,770,109,88
算数検定,2.011,-21.428,10.49,204,21059,5095,15047,129,199,4195,12574,2739,534,365
大船高校 偏差値,2.011,27.058,27.653,32,3305,1216,1867,153,222,277,1284,987,177,75
東洋高校,2.01,-7.773,11.506,144,14887,4522,9266,857,777,909,6517,4425,564,293
英検合格発表,2.01,-34.917,13.189,120,12402,3059,7950,1366,334,500,5741,3246,249,145
愛知県公立高校 偏差値,2.01,32.071,16.953,60,6200,1790,4003,148,91,300,3233,1776,241,173
esat-j,2.01,37.001,21.113,38,3928,1411,2283,165,121,279,1700,1217,254,84
学習,2.01,0.005,19.577,34,3513,1569,1721,47,226,504,1170,854,419,184
臨海,2.01,0.005,22.448,32,3308,1383,1755,81,247,465,1290,818,232,92
獨協埼玉中学,2.01,26.995,26.284,30,3100,964,1952,40,30,246,1830,719,69,68
相対度数 求め方,2.009,83.467,18.333,36,3726,993,1889,887,580,170,929,440,63,37
都立高校,2.008,18.091,8.402,292,30252,10749,17568,872,687,1666,12258,9617,2648,1605
英検 4級,2.008,-21.958,23.028,38,3935,983,2734,92,75,432,2521,632,48,38
z会 中高一貫校コース,2.008,20.024,22.67,37,3833,827,2834,24,7,252,2554,876,25,42
0120993657,2.008,-228.077,18.397,30,3108,722,2267,15,16,438,2198,334,35,29
z会 大学受験,2.007,-8.923,18.741,48,4976,1939,2695,310,126,111,1694,2272,251,70
サッカースクール,2.007,16.005,21.852,39,4043,1613,2221,19,83,1001,2284,437,88,33
神奈川県 私立高校,2.007,-15.737,24.826,35,3630,969,2447,123,75,245,1976,993,85,43
高校偏差値,2.006,6.699,12.671,94,9758,5053,3933,433,451,719,3498,2880,870,436
都立高校 推薦入試 2023,2.006,72.998,15.598,45,4669,1186,3199,86,40,189,2076,1701,264,179
小学生髪型男子,2.006,-24.801,23.714,34,3527,1103,2170,33,15,613,2274,399,43,20
上水高校,2.005,-47.049,20.904,38,3948,1360,2256,219,202,318,1661,1157,157,55
自主学習,2.004,-1.98,13.674,116,12061,2770,8051,416,193,2046,6793,1339,252,210
熟女画像,2.004,-20.043,14.932,89,9254,8065,563,15,72,294,1313,3311,2633,1145
お茶の水女子大学附属中学校,2.004,-0.203,19.678,54,5615,1311,4028,66,135,703,3100,1053,272,164
英検一級 過去問題,2.004,-8.521,28.772,30,3120,558,2340,100,53,522,1825,418,49,49
理科 英語,2.003,-0.47,17.131,49,5102,1481,3145,285,204,635,2536,867,169,93
懇談,2.002,-40.881,13.51,106,11044,3565,6771,98,252,1635,4559,2694,979,459
神代高校,2.002,-11.527,13.5,101,10518,3108,6253,1150,859,753,3952,2521,381,203
高校入試 倍率 2023,2.002,97.855,17.744,38,3961,1443,2168,210,77,280,1914,993,152,127
松陽高校 偏差値,2.002,-6.754,23.248,32,3333,1143,1878,231,233,287,1397,795,150,46
進研ゼミ 努力賞,2.001,14.242,18.732,62,6466,1216,4890,180,147,1333,3813,749,57,36
熟女まんこ,2.001,14.037,21.319,39,4068,3642,210,15,73,154,632,1281,1142,616
中学受験 偏差値,2.0,-37.758,11.243,139,14518,5418,8434,132,297,1881,7715,3179,565,483
国際高校,2.0,-5.558,14.873,76,7933,2639,4682,431,308,564,3269,2192,496,324
子供コロナワクチン接種,2.0,-44.561,21.873,36,3759,665,2825,15,26,654,2132,539,193,67
5年生 漢字 50問テスト,2.0,41.986,19.132,30,3131,780,2141,48,20,523,1939,347,75,63
思春期 男子 特徴,1.999,7.872,14.074,97,10141,1883,7555,147,227,1285,5732,2038,220,154
首都模試,1.999,-10.893,20.315,63,6586,1797,4523,53,57,385,4320,1538,91,75
柔道着 洗濯,1.999,24.704,16.796,54,5644,1104,4201,72,90,462,3308,1431,96,38
小5 算数,1.999,13.026,17.936,52,5436,1460,3620,81,170,758,3051,807,232,161
漢検4級,1.999,15.538,24.149,37,3868,1063,2453,189,152,359,2060,700,112,79
早稲アカ 合格実績,1.999,47.739,20.619,30,3135,915,2043,53,22,183,1806,899,77,34
大学入試 仕組み,1.998,0.043,19.99,51,5334,1730,3161,243,114,222,2319,1848,203,165
神奈川県公立高校入試,1.998,71.275,17.435,43,4497,1443,2736,183,152,249,1952,1442,224,132
学校行きたくない,1.998,6.869,26.909,38,3975,858,2385,657,416,597,1350,414,42,21
5年生 算数,1.997,2.806,15.732,89,9323,2438,6255,118,125,1578,5260,1175,441,290
文教大学付属高校,1.997,-4.572,16.337,88,9216,2696,5897,306,274,524,4306,2866,414,198
直角三角形の合同条件,1.997,17.294,18.157,46,4819,1888,2107,958,583,277,1281,757,257,107
東京成徳大学中学校,1.997,31.932,24.282,33,3456,973,2297,31,65,291,1962,855,122,50
z会 タブレット,1.996,1.507,15.288,99,10377,2697,7217,152,51,1750,6243,1754,160,109
連体詞とは,1.996,-6.753,16.096,78,8174,2345,4875,730,584,557,3584,1553,342,204
英検解答速報2022,1.996,-46.637,19.668,47,4924,1051,3226,652,131,197,1952,1222,243,109
神奈川県公立高校偏差値,1.995,-14.696,22.124,37,3882,1137,2482,65,53,173,1780,1290,237,160
熟慮,1.995,0.001,16.501,34,3568,2050,1313,51,306,581,1029,917,412,155
0120984722,1.994,-27.191,14.437,103,10814,2732,7547,113,53,1126,7418,1782,68,63
数学検定 日程 2022,1.994,-39.169,13.159,81,8507,2244,5820,168,195,460,4416,2668,283,129
東工大附属高校,1.994,4.151,18.06,50,5253,1732,3200,226,192,300,2295,1704,260,145
兵庫県 公立高校 倍率 2023,1.994,102.145,19.95,30,3151,880,2057,104,81,284,1789,708,56,31
推薦,1.993,24.722,6.834,308,32380,12073,18046,756,805,1859,10834,10788,3915,2173
広尾高校,1.993,-37.289,18.405,61,6416,2184,3775,364,358,518,2634,1859,293,155
小平高校,1.993,-37.988,21.271,60,6310,1947,3888,323,297,394,2729,1926,232,148
マナビス 河合塾,1.993,6.823,18.034,42,4415,1114,2947,251,82,53,1734,2005,76,32
制服 洗濯,1.993,63.913,24.176,33,3468,489,2783,70,82,589,2112,500,25,11
信愛高校,1.993,5.689,25.986,30,3154,981,1873,219,169,230,1382,753,147,72
私立高校 無償化,1.992,9.335,5.539,621,65320,16950,45001,397,487,7678,39517,13293,1549,1016
スクール,1.992,-0.828,16.084,59,6206,3152,2748,90,348,945,1918,1441,855,442
塩化コバルト紙 反応,1.992,-8.136,23.768,34,3577,1313,1798,421,317,193,1551,583,139,47
希学園,1.991,0.001,11.631,133,14010,4431,8922,108,267,1931,8011,2466,564,405
卒業式 小学校 女子,1.99,-11.316,8.311,256,26984,3443,21812,224,85,4028,17967,3225,363,288
鷺宮高校,1.99,22.29,14.152,81,8541,2744,5134,473,482,636,3398,2498,445,224
先輩,1.99,4.081,15.883,79,8327,3720,3897,338,757,1008,2035,2044,1088,586
大宮開成高校,1.99,-29.627,18.313,61,6430,2183,3765,564,320,317,2568,1885,325,209
学芸高校,1.99,7.837,18.102,52,5482,1165,3831,371,283,515,2557,1221,161,88
私立,1.99,16.972,22.018,44,4639,1887,2379,258,318,676,1710,976,282,214
大阪府公立高校 偏差値,1.99,24.937,25.683,40,4217,1186,2722,84,58,239,2153,1208,192,127
都立中高一貫校,1.989,-0.02,12.369,127,13406,2939,9869,64,114,1781,7862,2336,493,542
開成中学 偏差値,1.989,4.859,11.686,103,10871,2372,7808,209,175,1466,6102,1650,490,423
私立高校入試日程 2023,1.989,125.492,16.953,41,4328,1413,2670,59,111,139,1546,1667,434,246
新中学問題集,1.989,-38.912,29.837,30,3168,935,1983,140,125,190,1698,768,81,48
中学受験 偏差値 2023,1.988,17.367,6.894,299,31590,11906,18154,184,351,3198,15165,8530,2177,1360
都立高校 倍率 2023,1.988,82.078,6.146,272,28739,8104,18822,1149,612,1488,12942,9759,1107,790
浜学園 公開テスト,1.988,-2.917,16.612,36,3803,825,2807,10,23,639,2419,486,98,70
オープンスクール,1.988,-34.033,28.803,34,3593,1102,2233,174,144,462,1729,820,83,35
基礎,1.987,5.07,16.215,65,6875,3808,2632,82,331,916,2041,1912,858,456
素因数分解 やり方,1.987,0.345,24.589,40,4231,1483,2280,336,404,463,1716,761,128,109
川越総合高校,1.987,22.596,23.193,36,3808,1278,2192,226,183,369,1722,910,138,59
熟女無料,1.987,-50.055,24.392,33,3489,2745,509,8,25,83,432,1254,1000,508
英検3級 レベル,1.986,0.572,13.686,114,12067,3476,7697,416,446,1122,6410,2638,323,266
将来の夢,1.986,7.649,15.918,90,9527,2969,5303,954,1157,1240,3111,1608,376,244
県立高校 倍率2023,1.986,57.066,15.6,44,4657,1033,3274,119,56,290,2518,1159,147,175
安心フィルター,1.986,0.209,26.016,40,4236,1432,2575,149,119,801,2242,750,53,25
早稲アカオンライン,1.986,-26.166,20.94,38,4025,1399,2447,94,42,233,2374,1108,58,50
一次方程式,1.986,-31.725,19.043,30,3177,1405,1446,249,299,448,1162,586,143,77
柔道着 サイズ,1.985,50.944,20.24,41,4343,1298,2826,35,89,431,2343,1170,141,45
先生へのプレゼント,1.985,47.491,20.234,37,3923,387,3172,222,201,880,1944,435,31,19
サピックス,1.984,0.001,5.96,480,50917,15482,33122,366,929,7837,27517,9946,2162,1351
北辰テスト,1.983,-0.861,7.844,325,34518,11779,20415,1082,1174,3305,17314,8852,1082,498
英検申し込み 2023,1.983,91.811,17.176,42,4462,829,3252,276,99,270,2363,1122,107,45
0は偶数か,1.983,11.602,18.69,41,4353,1835,2091,288,321,503,1808,764,297,118
神奈川県公立高校,1.983,2.278,24.737,36,3824,1070,2468,124,101,253,1816,1090,198,80
離れる,1.983,1.622,22.499,35,3718,1531,1915,26,114,302,1005,1080,667,348
算数検定 日程,1.983,8.794,25.034,34,3612,797,2682,10,11,619,2254,564,74,37
英単語 覚え方,1.982,-2.992,10.204,178,18925,5959,10698,2318,1238,1989,7412,3524,705,326
芝浦工業大学中学,1.982,-20.085,14.731,114,12118,3053,8474,101,163,1104,7088,2676,413,346
願書 封筒 書き方,1.982,71.593,13.884,62,6590,1191,4980,252,339,628,3378,1724,61,31
南中学校,1.981,-14.764,21.607,45,4786,1345,2928,335,228,680,2258,768,126,69
麗 書き順,1.981,37.387,30.632,30,3193,898,2128,30,125,392,1453,804,223,97
早稲田中学偏差値,1.98,4.025,22.092,36,3833,1118,2492,75,56,379,2052,802,184,179
全国統一小学生テスト,1.979,-40.964,6.991,468,49881,10882,36930,258,376,10752,30942,5533,803,548
一瞬,1.979,-37.524,17.166,72,7678,3008,4137,75,264,581,1653,2326,1583,856
範囲,1.979,-0.473,17.101,51,5440,2528,2488,81,206,460,1408,1746,857,423
名門会,1.979,0.199,22.719,30,3199,1092,1943,69,120,278,1405,978,215,65
都立高校 偏差値,1.978,-66.868,9.309,208,22206,7576,13359,419,750,2052,10045,6300,1297,742
人権作文,1.978,-30.614,11.379,166,17715,5111,9854,1818,436,1624,8280,2995,382,221
中学,1.977,9.559,13.809,113,12076,5201,6118,302,493,1349,5067,2625,1071,776
神奈川県公立高校 倍率,1.977,62.887,14.682,59,6304,2086,3700,350,199,361,2734,1932,316,133
我孫子二階堂高校,1.976,19.042,21.079,36,3849,1434,2156,188,194,411,1658,1006,152,80
数検準2級,1.976,46.476,28.921,32,3423,1105,1895,432,175,143,1463,837,81,57
都立日比谷高校,1.976,0.717,28.502,29,3101,1110,1779,73,132,263,1203,933,236,152
05031741856,1.975,-130.288,12.34,108,11559,2109,8932,49,62,1746,8113,1184,137,84
混血カレコレ,1.975,-10.335,19.763,45,4817,1794,2325,460,250,584,2032,715,124,124
化学反応式,1.974,-9.67,18.631,51,5463,2085,2552,758,613,482,1915,875,173,78
学業成就,1.974,78.918,26.209,33,3535,1417,1884,91,150,349,1390,1042,252,140
エルカミノ,1.973,3.926,19.423,62,6647,1517,4876,16,68,1160,3969,1059,190,105
紀行文とは,1.973,2.878,20.762,46,4933,1499,3082,205,283,572,2380,775,250,258
朋優学院,1.973,-55.993,22.02,39,4183,1495,2457,166,173,244,1813,1403,180,104
準備,1.972,-0.0,12.596,126,13534,5791,6830,124,468,1434,4053,3898,2020,1001
英検準2級 過去問,1.972,-4.232,23.18,49,5262,1530,3105,744,203,276,2078,1223,219,110
単位制高校とは,1.972,12.582,23.517,38,4081,1142,2558,282,201,320,1703,1065,179,117
z会,1.971,0.013,5.681,594,63814,18310,42116,1357,1271,11560,33278,12212,1997,918
進研ゼミ 退会,1.971,0.92,9.019,182,19569,3724,14996,156,67,3258,12523,3006,158,123
山手学院,1.971,-0.829,10.905,161,17303,5822,10444,407,600,1477,8377,4575,813,556
予備校 費用,1.97,6.978,11.37,118,12698,4309,7543,414,362,635,5831,4528,345,189
大阪 高校,1.97,-37.31,18.385,36,3872,1371,2111,319,320,506,1650,684,104,51
必勝,1.97,-11.038,21.602,33,3550,1444,1878,88,140,481,1342,859,330,178
消耗,1.97,32.821,20.709,32,3443,1601,1602,56,167,464,869,1041,475,230
将来の夢が決まらない,1.969,0.059,17.632,55,5920,1091,3546,1572,664,221,1725,764,59,47
公立高校 入学式,1.969,165.788,16.112,40,4308,860,3178,68,39,340,2467,1037,126,91
大阪府私立高校無償化,1.969,-18.403,29.01,29,3123,804,2121,32,15,123,1746,957,111,61
公文,1.968,-0.004,6.889,347,37386,9071,26490,273,1376,10052,18021,4801,1422,721
埼玉県高校偏差値,1.968,-13.635,13.426,124,13367,5789,6634,238,257,664,5303,4217,1409,736
疲れる,1.968,10.052,20.985,56,6039,2263,3399,42,289,693,1499,1537,1162,611
観音高校,1.968,-10.777,25.27,31,3340,1184,1838,206,210,302,1463,756,171,61
ミライコンパス,1.967,24.955,10.201,177,19103,5563,12686,296,182,1546,11835,4548,263,142
ビー動詞とは,1.967,-7.402,18.625,46,4965,1374,3015,318,300,639,2331,752,166,79
豊島高校偏差値,1.967,5.765,18.209,40,4318,1406,2538,257,194,316,1888,1151,209,66
すとぷりグッズ,1.967,-72.183,23.526,37,3991,788,2597,389,226,503,1767,567,66,32
髪型 中学 男子,1.967,17.326,28.131,34,3667,1031,2377,84,20,303,2603,482,24,14
高校生 男子 髪型,1.967,23.195,34.365,30,3238,525,2484,81,27,125,1905,964,17,14
英検3級 面接,1.966,-7.183,23.733,33,3566,970,2206,316,148,276,1839,643,53,45
未亡人の姓,1.966,9.575,27.077,31,3349,2446,678,13,62,186,391,599,868,1067
附属中学校,1.965,-10.658,17.329,69,7463,2165,4780,185,215,872,3946,1574,250,163
大阪公立高校 偏差値,1.965,23.397,17.794,52,5623,1585,3554,226,130,291,2882,1431,222,164
小金井北高校,1.965,8.269,22.208,52,5620,1805,3391,265,251,343,2466,1756,198,116
大阪夕陽丘学園高校,1.965,10.25,18.269,39,4218,1226,2632,236,269,390,1749,1062,219,97
目黒高校,1.964,1.23,17.834,69,7468,2644,4285,356,411,580,2996,2202,473,166
阿倍野高校,1.964,-12.784,21.113,52,5629,1948,3188,314,284,439,2410,1376,329,164
男子中学生 髪型,1.964,-15.306,19.751,35,3787,902,2514,169,67,298,2121,790,72,45
受験生 食事,1.964,66.084,22.139,32,3463,511,2675,49,33,83,1674,1348,101,53
進研ゼミ,1.963,16.339,5.44,644,69794,25998,40767,1163,1616,13743,35322,13748,2055,1003
英検5級 合格点,1.963,-25.386,17.707,79,8555,2089,6022,81,84,1231,5457,1235,162,109
保護者会,1.963,9.792,22.722,34,3683,901,2583,29,156,963,1741,566,99,51
影響,1.962,-21.813,11.282,152,16484,7917,7400,147,538,1376,4090,5003,2883,1706
首都模試 マイページ,1.962,-27.376,20.131,48,5203,1139,3848,35,17,246,3497,1245,52,51
05031812403,1.96,-11.827,11.447,92,9994,1914,7573,50,51,1300,6962,1248,118,104
ムサシノ学生服,1.96,-10.546,22.915,43,4674,1111,3341,59,54,354,2564,1410,103,51
快い 読み方,1.96,78.299,22.263,38,4129,1480,2356,118,217,576,1712,884,327,139
調べる,1.96,15.973,21.819,37,4019,1664,2041,73,195,497,1182,894,570,411
神奈川高校偏差値,1.959,-19.616,20.357,53,5766,2699,2642,191,169,243,2182,1889,574,258
制服スカート,1.959,35.378,18.426,52,5658,1417,3672,661,400,353,1969,1392,415,109
英検準二級,1.959,-34.402,17.841,48,5219,1398,3260,665,317,364,2285,1144,81,63
十文字中学校 偏差値,1.959,17.542,24.419,43,4676,761,3645,65,57,373,2631,1078,179,158
倍率1.5倍とは,1.959,77.815,19.657,32,3480,855,2331,164,175,373,1687,815,59,44
関大北陽中学,1.959,3.785,20.382,29,3155,947,2019,37,40,240,1924,683,82,65
東進,1.958,0.002,5.222,504,54900,23265,27381,4203,2237,3292,19474,19304,2955,1345
千葉西高校,1.958,-21.365,18.686,58,6314,2226,3601,333,374,469,2617,1878,265,116
時差の求め方,1.958,-32.802,21.727,53,5771,1599,3250,868,212,311,2348,942,228,198
東中学校,1.958,-0.041,17.488,51,5553,1677,3328,355,288,812,2494,969,175,100
0120665576,1.958,-28.853,20.13,45,4901,1062,3626,25,17,774,3423,559,25,18
スマイルゼミ 解約,1.958,1.624,25.924,44,4792,1069,3566,14,27,1438,2851,364,42,24
大宮工業高校,1.958,-13.492,22.976,30,3267,1579,1486,137,146,360,1266,926,236,92
上野高校,1.957,-6.025,16.154,88,9589,3766,5047,478,477,675,3820,2871,557,287
川越南高校,1.957,-17.046,19.973,70,7630,2443,4512,467,389,560,3462,1970,252,138
墨田川高校,1.957,-27.926,18.15,65,7083,2574,4019,366,360,489,2806,2158,405,248
英検 日程 2023,1.957,67.979,13.682,59,6433,1266,4585,406,198,373,3173,1716,174,85
卒服 小学校 女子,1.957,-45.885,22.996,33,3595,461,2904,40,12,409,2526,487,15,15
大学受験ブログ,1.957,-4.985,22.882,31,3380,644,2470,37,41,30,1180,1782,129,68
英検5級 レベル 何年生,1.956,17.304,11.034,136,14830,3171,10844,150,168,2170,8926,2516,309,256
名簿とは,1.956,23.012,23.445,37,4038,1482,2236,30,143,256,982,1196,823,409
公文式教室,1.955,-0.822,4.504,844,92184,21031,66480,326,935,22326,42118,14507,7048,2874
目黒学院高校,1.955,-7.907,17.475,70,7642,2066,5018,332,227,354,3377,2492,393,183
英検2級 勉強法,1.955,14.626,29.411,33,3603,887,2275,592,144,162,1349,965,93,35
研伸館,1.954,0.901,16.755,60,6556,2274,3836,268,244,532,3032,1946,228,105
熟成肉,1.954,-0.001,10.478,54,5902,3511,2144,23,285,1081,1710,1618,747,320
南高校,1.954,11.126,18.452,48,5249,1523,3139,457,253,433,2191,1212,216,126
大阪ビジネスフロンティア高校,1.954,12.798,25.711,33,3609,1235,2098,206,193,332,1463,971,218,67
their,1.954,-13.269,18.256,31,3390,1339,1627,349,343,525,1176,505,152,70
級 書き順,1.954,-62.476,27.36,30,3279,784,2305,46,97,564,1874,418,119,75
背が伸びる食べ物,1.953,-9.438,21.141,56,6128,1287,4385,129,92,912,3603,992,109,75
共通テストとは,1.953,58.67,18.285,43,4704,1534,2694,490,273,434,1844,1155,125,118
大学オープンキャンパス2022,1.953,-89.823,19.013,34,3721,914,2450,248,52,39,1427,1623,99,28
一次関数とは,1.952,-5.251,14.212,76,8325,2868,4540,517,353,669,3985,1744,295,157
桐朋中学校 偏差値,1.952,-2.2,17.327,37,4054,1405,2459,48,60,351,2013,1080,213,199
奈良県公立高校入試,1.952,70.479,19.2,31,3396,1018,2107,127,82,157,1387,1084,252,142
願書,1.952,0.516,25.173,30,3285,991,2008,209,234,487,1305,740,80,61
町田高校偏差値,1.952,-6.333,27.529,30,3285,1165,1874,137,148,283,1384,920,191,103
偏差値50 どのくらい,1.951,29.89,10.786,140,15347,3978,10095,703,593,2332,6825,3056,692,434
算数オリンピック,1.951,-13.292,14.179,98,10741,3408,6808,156,211,1802,5976,1642,465,284
大阪府公立高校入試,1.951,22.192,18.301,55,6030,2258,3340,202,212,369,2565,1783,436,235
学芸大学附属中学校,1.951,11.33,21.385,46,5044,1391,3445,40,44,418,2709,1158,315,264
ファミリーリンク 位置情報,1.951,38.789,25.631,42,4603,1366,3048,49,76,801,2781,770,43,32
日能研 夏期講習,1.951,-6.427,16.327,41,4494,772,3536,22,29,618,3027,585,79,80
県立高校,1.951,-34.11,22.751,36,3947,1356,2291,85,101,274,1644,1239,305,138
中学生 コンタクト,1.951,-22.854,28.271,32,3508,646,2671,32,15,443,2451,462,18,12
英検,1.95,-10.461,3.095,2140,234954,71518,146775,12940,8702,18327,109479,63706,8835,4996
私立高校 学費,1.95,16.996,9.429,203,22274,8303,12754,297,632,3553,12285,4016,541,381
神奈川県高校偏差値,1.95,-2.161,11.954,159,17454,7401,8822,308,316,599,6230,5915,2085,1256
学校 行きたくない,1.95,-29.29,11.33,158,17338,2541,12119,2608,584,1747,7876,2312,249,213
尚絅学院高校,1.95,-10.96,17.763,59,6475,2154,3817,229,369,550,2739,1742,379,173
奪う,1.95,-13.699,21.573,36,3951,1563,2079,45,130,291,912,1284,679,442
多摩科学技術高校,1.95,0.974,22.343,35,3842,1306,2297,134,174,247,1745,1178,178,81
受講とは 意味,1.95,-38.21,26.752,31,3403,1293,1852,80,278,555,1147,831,273,96
主催,1.95,50.213,26.901,30,3293,1559,1524,45,234,593,934,830,340,208
三角定規 角度,1.949,0.296,16.355,74,8131,1881,5752,126,161,1864,4473,869,236,146
立正大学付属高校,1.949,-13.762,19.879,50,5492,1202,3913,140,135,197,2578,1928,186,123
郁文館高校,1.949,51.447,18.38,41,4506,1777,2439,162,218,313,1791,1414,320,140
市川中学,1.948,10.539,13.969,87,9565,2995,6114,111,129,954,5747,1967,259,237
マイ日能研,1.948,-9.624,16.243,85,9343,2743,6136,115,35,968,6307,1439,121,175
法政高校,1.948,-6.451,16.135,66,7255,2335,4403,379,259,430,3133,2296,310,169
京華中学,1.948,-32.38,18.723,58,6381,1454,4608,50,67,514,3879,1460,144,137
驚き,1.948,-0.032,14.722,56,6157,2505,3250,45,148,452,1360,2076,1217,625
グノーブル 中学受験,1.948,0.0,19.196,53,5830,1285,4351,26,36,693,3860,947,118,103
suica 子供から大人,1.948,24.139,29.129,30,3300,769,2390,28,11,307,2219,632,32,21
修学旅行 バッグ,1.947,-29.676,11.854,166,18278,2888,14148,346,117,2542,11514,2879,183,131
中学生 スマホ,1.947,59.954,18.503,55,6052,2713,3007,75,60,723,3572,1043,274,161
上野高校 偏差値,1.947,29.827,21.401,51,5615,2163,3069,247,325,579,2264,1470,376,150
常翔学園高校 偏差値,1.947,34.091,17.029,47,5172,1646,3080,271,227,344,2457,1275,208,105
岡山中学,1.947,30.053,23.623,35,3853,1346,2280,47,53,340,2213,834,158,120
auキッズ携帯,1.946,28.932,21.356,40,4407,1177,2925,13,83,1060,2357,571,157,37
チョコレートタッチ,1.946,-68.878,19.446,40,4407,849,3347,14,50,1027,2699,421,77,36
千代田国際中学校,1.946,-24.366,21.258,38,4188,1120,2911,16,53,324,2474,1010,170,90
クリスマスプレゼント 中学女子,1.946,51.959,18.58,29,3195,836,2064,277,38,254,1927,449,32,45
sapix,1.945,0.001,7.575,244,26910,10625,15208,302,1413,5546,13236,4475,1028,537
松が谷高校,1.945,-11.642,16.261,54,5955,2031,3446,397,344,496,2455,1649,226,115
体育祭,1.945,-32.498,18.318,50,5513,1793,2932,817,404,647,1837,999,195,91
does 使い方,1.945,-43.534,18.632,42,4632,1026,3083,368,317,590,2164,650,153,74
進研ゼミ ログイン,1.945,4.434,32.178,30,3310,1249,1961,31,15,646,1830,636,69,51
高校 偏差値,1.944,-2.583,9.99,195,21531,9884,10237,799,973,2711,9955,5143,868,342
大阪府高校偏差値 2023,1.944,87.123,16.959,41,4529,1803,2381,69,48,177,1847,1461,460,275
階級値とは,1.944,34.348,23.878,30,3314,1135,1599,604,458,184,928,543,128,49
小学校 卒業式 服 女子,1.943,-1.599,13.704,89,9836,1661,7581,68,65,1420,6001,1519,296,189
